id;price;msrp_price;original_price;good_offer;seller_rating;seller_count_rating;car_rate;consumers_review;n_photos;City MPG;Drivetrain;Engine;Exterior Color;Fuel Type;Highway MPG;Interior Color;Mileage;Stock;Transmission;VIN
757198318.html;$43,997;;;Good Deal;4.8;68;4.6;47 reviews;32;;4WD;6.7L V8 OHV 16V DIESEL;Blue;Diesel;;TAN;58,538;A25413;Automatic;1FT7W2BT9GEA25413
758214265.html;$30,995;;;Great Deal;4.8;1086;4.7;168 reviews;44;19;FWD;Regular Unleaded V-6 3.6 L/220;Bright White Clearcoat;Gasoline;28;Black/Alloy;24,399;28543;9-Speed Automatic w/OD;2C4RC1GG1JR149581
766799909.html;$17,981;;;Good Deal;4.8;1057;4.5;65 reviews;48;21;FWD;3.5L V6 24V MPFI DOHC;Black;Gasoline;31;Beige;78,583;TE2131110;6-Speed Automatic;JTHBK1GG5E2131110
763473189.html;$23,977;;;Good Deal;4.7;359;4.9;589 reviews;47;18;Rear Wheel Drive;5.0L 8 CYLINDER;Gray;E85 Flex Fuel;23;Dark Earth Gray;35,178;JKD36846;Automatic;1FTEW1C53JKD36846
759688651.html;$29,929;;;;3.5;14;5;32 reviews;20;21;FWD;3.5 L;Deep Blue Pearl;Gasoline;30;Charcoal;537;N94154;Variable;1N4AA6AP2JC394154
757346945.html;$39,808;$41,390;;;4.4;402;5;3 reviews;15;17;RWD;3.7L 6-Cylinder;Pearl White;Gasoline;26;Charcoal;6;420282;Automatic;JN1AZ4EHXKM420282
760232190.html;$40,025;$44,025;;;4.8;1125;4.8;65 reviews;32;19;RWD;3.6L V6 24V MPFI DOHC;Bright White Clearcoat;Gasoline;26;Black;0;40497;8-Speed Automatic;1C4RJEBG8KC643953
766863152.html;$26,760;$32,010;;;4.8;1125;4.9;11 reviews;32;19;RWD;3.6L V6 24V MPFI DOHC;Granite Crystal Clearcoat Metallic;Gasoline;30;Black;0;40746;8-Speed Automatic;2C3CCAAG9KH613551
762718246.html;$16,994;;$17993;Great Deal;4.9;162;4.8;486 reviews;32;23;FWD;2.5 L;Barcelona Red Metallic;Gasoline;30;Ash;54,960;000P2144;Automatic;2T3WFREV0HW318581
766154630.html;$57,069;;;;4.8;1057;4.8;20 reviews;32;20;AWD;3.5L V6 24V PDI DOHC;Nebula Gray Pearl;Gasoline;28;Black;0;KC188591;8-Speed Automatic;2T2BZMCA1KC188591
758555981.html;$17,990;;;Good Deal;4.8;39;4.8;120 reviews;27;22;FWD;Gas/Ethanol V6 3.6L/217;Mosaic Black Metallic;E85 Flex Fuel;30;Jet Black;52,080;C1332;6-Speed Automatic;2G1105S39H9171428
753159575.html;$18,944;;$19944;Good Deal;4.9;49;4.5;26 reviews;40;18;AWD;3.3L V6 DGI DOHC 24V;Black;Gasoline;25;Black;92,036;120770;6 Speed Automatic;KM8SRDHF6FU120770
766068501.html;$49,570;;;Good Deal;4.9;475;4.8;70 reviews;25;16;RWD;V8;Summit White;E85 Flex Fuel;23;Jet Black;10,356;JR376232;6-Speed Automatic Electronic with Overdrive;1GNSCBKC3JR376232
766999294.html;$14,995;;;Great Deal;5;23;4.7;83 reviews;32;18;RWD;2.7L I4 16V MPFI DOHC;Black;Gasoline;21;Graphite;82,365;079182A;4-Speed Automatic;5TFTX4CN1EX040125
750681327.html;$43,435;$48,435;;;4.8;1125;4.8;65 reviews;32;19;RWD;3.6L V6 24V MPFI DOHC;Bright White Clearcoat;Gasoline;26;Black;0;40248;8-Speed Automatic;1C4RJECG3KC533536
760937559.html;$39,361;$43,275;;;-1;-1;4.9;17 reviews;24;;;6.2L SOHC;Oxford White;E85 Flex Fuel;;Medium Earth Gray;7;KED16060;6-Speed Automatic;1FDBF2A68KED16060
765277567.html;$35,122;$39,200;;;-1;-1;4.7;34 reviews;28;21;FWD;2.0L I4 16V GDI DOHC Turbo;Stone Gray Metallic;Gasoline;28;Dune;4;193975;8-Speed Automatic;2FMPK3J93KBB59566
754164097.html;$44,073;;;;4.8;220;4.7;34 reviews;21;22;FWD;Intercooled Turbo Premium Unleaded I-4 2.0 L/122;Ingot Silver Metallic;Gasoline;29;Ebony;10;23600T;8-Speed Automatic w/OD;2FMPK3K97KBB47810
762856250.html;$21,994;;;Good Deal;4.8;1125;4.1;270 reviews;39;19;4WD;3.2L V6 24V MPFI DOHC;Granite Crystal Clearcoat Metallic;Gasoline;25;Black;59,874;UW161349;9-Speed Automatic;1C4PJMBS3EW161349
755055928.html;$14,988;;;Good Deal;4.9;482;4.7;195 reviews;20;25;FWD;2.5L I4 16V MPFI DOHC;Predawn Gray Mica;Gasoline;35;Black;41,130;S3351;6-Speed Automatic;4T1BF1FK6GU137450
752816130.html;$15,378;$16,165;;;4.6;262;4.8;15 reviews;11;31;FWD;1.6L I4 16V MPFI DOHC;Brilliant Silver Metallic;Gasoline;39;Charcoal;4;NI19076;Automatic CVT;3N1CN7APXKL811011
763213899.html;$43,865;$43,865;;;4.9;701;4.7;82 reviews;22;;FWD;3.5L V6 24V GDI SOHC;Scarlet Red;Gasoline;;Beige;2;H19314;9-Speed Automatic;5FNYF5H67KB026896
765903566.html;$30,795;;;;4.6;409;4.4;69 reviews;18;27;FWD;1.5L I4 16V GDI DOHC Turbo;Gray;Gasoline;33;Gray;10;H191116;Automatic CVT;5J6RW1H81KA018391
751431557.html;$28,204;$34,665;;;4.6;262;5;32 reviews;15;21;FWD;3.5L V6 24V MPFI DOHC;Black;Gasoline;30;Charcoal;5;NI18678;Automatic CVT;1N4AA6APXJC402551
759210745.html;$21,747;$24,470;;;5;19;5;1 reviews;32;25;FWD;2.0 L;Magnetic Black Pearl;Gasoline;32;Charcoal;2;0NT19069;Variable;JN1BJ1CP0KW213246
752807620.html;$107,223;;$108222;;4.2;45;5;3 reviews;32;15;AWD;V8;Carpathian Grey;Gasoline;23;Ebony / Ebony;7;KCK60975;Automatic;SAJD51EE5KCK60975
762836484.html;$23,640;;;Good Deal;4.7;359;4.5;60 reviews;50;22;Front Wheel Drive;2.0L 4 CYLINDER;White;Gasoline;28;Black;35,600;F2014122;6-Speed Automatic;JTJYARBZ2F2014122
